Actor, Followers, Is_In_IMDB, Trend
Sam Worthington,70420,0,
Zoe Saldana,11438061,0,
Sigourney Weaver,20834,0,
Stephen Lang,107029,0,
Michelle Rodriguez,9108491,0,
Giovanni Ribisi,4026,0,
Joel David Moore,81736,0,
CCH Pounder,38123,0,
Wes Studi,,0,
Laz Alonso,913198,0,
Dileep Rao,1522,0,
Matt Gerald,21914,0,
Sean Anthony Moran,2408,0,
Jason Whyte,,0,
Scott Lawrence,665,0,
Kelly Kilgour,,0,
James Patrick Pitt,50934,0,
Sean Patrick Murphy,1377,0,
Peter Dillon,508,0,
Kevin Dorman,3774,0,
Kelson Henderson,10275,0,
David Van Horn,166,0,
Jacob Tomuri,37339,0,
Michael Blain-Rozgay,430,0,
Jon Curry,984,0,
Luke Hawker,399186,0,
Woody Schultz,1444,0,
Peter Mensah,30723,0,
Sonia Yee,135,0,
Jahnel Curfman,14299,0,
Ilram Choi,30,0,
Kyla Warren,1339,0,
Lisa Roumain,4568,0,
Debra Wilson,2675,0,
Chris Mala,101,0,
Taylor Kibby,20589,0,
Jodie Landau,2159,0,
Julie Lamm,69,0,
Cullen B. Madden,482,0,
Joseph Brady Madden,14565765,0,
Frankie Torres,1622,0,
Austin Wilson,102881,0,
Sara Wilson,6232,0,
Tamica Washington-Miller,1051,0,
Lucy Briant,419,0,
Nathan Meister,1566,0,
Gerry Blair,16,0,
Matthew Chamberlain,4172,0,
Paul Yates,268,0,
Wray Wilson,8378,0,
James Gaylyn,233,0,
Melvin Leno Clark III,,0,
Carvon Futrell,431,0,
Brandon Jelkes,2631,0,
Micah Moch,1243,0,
Hanniyah Muhammad,99,0,
Christopher Nolen,220870,0,
Christa Oliver,1372,0,
April Marie Thomas,130,0,
Bravita A. Threatt,576,0,
Colin Bleasdale,34012,0,
Mike Bodnar,273,0,
Matt Clayton,1038,0,
Nicole Dionne,1879,0,
Jamie Harrison,63703,0,
Allan Henry,3505,0,
Anthony Ingruber,8856,0,
Ashley Jeffery,1688,0,
Dean Knowsley,,0,
Joseph Mika-Hunt,,0,
Terry Notary,12466,0,
Kai Pantano,1667,0,
Logan Pithyou,718894,0,
Stuart Pollock,840,0,
Raja,3094676,0,
Gareth Ruck,238,0,
Rhian Sheehan,2084,0,
T. J. Storm,204,0,
Jodie Taylor,77903,0,
Alicia Vela-Bailey,35405,0,
Richard Whiteside,805,0,
Nikie Zambo,24,0,
Julene Renee,182,0,
Johnny Depp,28756476,0,
Orlando Bloom,7182511,0,
Keira Knightley,245150,0,
Stellan Skarsgård,11051,0,
Chow Yun-fat,4731,0,
Bill Nighy,380,0,
Geoffrey Rush,6583,0,
Jack Davenport,3569,0,
Kevin McNally,48715,0,
Tom Hollander,86,0,
Naomie Harris,253908,0,
Jonathan Pryce,480,0,
Keith Richards,1529469,0,
Lee Arenberg,14387,0,
Mackenzie Crook,24,0,
Greg Ellis,15922,0,
David Bailie,588,0,
Martin Klebba,26315,0,
David Schofield,431,0,
Lauren Maher,1760,0,
Vanessa Branch,2252,0,
Angus Barnett,20,0,
Giles New,99847,0,
Reggie Lee,131700,0,
Dominic Scott Kay,52012,0,
Takayo Fischer,,0,
David Meunier,1047,0,
Ho-Kwan Tse,292,0,
Andy Beckwith,278,0,
Peter Donald Badalamenti II,788,0,
Christopher S. Capp,769,0,
Keith Richards,1529483,0,
Hakeem Kae-Kazim,20612,0,
Ghassan Massoud,3820,0,
Daniel Craig,18750,0,
Christoph Waltz,172695,0,
Léa Seydoux,100452,0,
Ralph Fiennes,28850,0,
Monica Bellucci,5337639,0,
Ben Whishaw,28106,0,
Naomie Harris,253902,0,
Dave Bautista,4822633,0,
Andrew Scott,7246,0,
Rory Kinnear,720,0,
Jesper Christensen,3758,0,
Alessandro Cremona,1997,0,
Stephanie Sigman,162702,0,
Tenoch Huerta,1142083,0,
Adriana Paz,194275,0,
Domenico Fortunato,2406,0,
Marco Zingaro,2731,0,
Stefano Elfi DiClaudia,105914,0,
Ian Bonar,75,0,
Tam Williams,395,0,
Richard Banham,365,0,
Pip Carter,772,0,
Simon Lenagan,379,0,
Alessandro Bressanello,1253,0,
Marc Zinga,1705,0,
Brigitte Millar,133,0,
Adel Bencherif,257623,0,
Gediminas Adomaitis,14,0,
Peppe Lanzetta,,0,
Francesco Arca,595692,0,
Matteo Taranto,3025,0,
Emilio Aniba,720,0,
Benito Sagredo,,0,
Dai Tabuchi,,0,
George Lasha,97,0,
Sargon Yelda,356,0,
Andy Cheung,550,0,
Erick Hayden,7737,0,
Oleg Mirochnikov,303,0,
Antonio Salines,1112,0,
Miloud Mourad Benamara,,0,
Gido Schimanski,1718,0,
Nigel Barber,41051,0,
Patrice Naiambana,41,0,
Stephane Cornicard,1295,0,
Gary Fannin,664,0,
Sadao Ueda,,0,
Phillip Law,14921,0,
Wai Wong,7178,0,
Joseph Balderrama,52,0,
Eiji Mihara,254,0,
Junichi Kajioka,4253,0,
Victor Schefé,967,0,
Harald Windisch,224,0,
Tristan Matthiae,474,0,
Detlef Bothe,1033,0,
Bodo Friesecke,,0,
Wilhem Iben,184,0,
Noemi Krausz,1077,0,
Noah Saavedra,10867,0,
Francis Attakpah,978,0,
Michael Glantschnig,4085,0,
Marlon Boess,1534,0,
Marie Wohlmuth,803,0,
Lili Epply,3628,0,
Konstantin Gerlach,400,0,
Lara Parmiani,468,0,
Umit Ulgen,1243,0,
Amra Mallassi,822,0,
Ziad Abaza,667,0,
Walid Mumuni,1413,0,
Derek Horsham,661,0,
Nari Blair-Mangat,1554,0,
Michael White,1502,0,
Adam McGrady,723,0,
Nader Dernaika,2111,0,
Pezhmaan Alinia,1047,0,
Judi Dench,3076,0,
Neve Gachev,363,0,
Karl Farrer,377,0,
Kim Adis,19400,0,
Maurisa Selene Coleman,9370,0,
Christian Bale,422004,0,
Michael Caine,5713,0,
Gary Oldman,27058,0,
Anne Hathaway,30824292,0,
Tom Hardy,9709225,0,
Marion Cotillard,,0,
Joseph Gordon-Levitt,1314517,0,
Morgan Freeman,4202095,0,
Cillian Murphy,1921885,0,
Juno Temple,758929,0,
Liam Neeson,41618,0,
Matthew Modine,820290,0,
Alon Aboutboul,14603,0,
Ben Mendelsohn,30665,0,
Nestor Carbonell,35044,0,
Josh Pence,,0,
Tom Conti,87,0,
Joey King,18985094,0,
Warren Brown,97408,0,
Daniel Sunjata,538,0,
Sam Kennard,416,0,
Aliash Tepina,2012,0,
Nick Julian,1710,0,
Miranda Nolan,838,0,
Claire Julien,29214,0,
Aidan Gillen,7906,0,
Burn Gorman,54771,0,
Brett Cullen,350,0,
Reggie Lee,131697,0,
Joseph Lyle Taylor,54937,0,
Chris Ellis,6501,0,
Duane Henry,28356,0,
James Harvey Ward,61,0,
Gonzalo Menendez,795,0,
Cameron Jack,4117,0,
Lex Daniel,459,0,
Tyler Dean Flores,11926,0,
Thomas Lennon,207344,0,
Trevor White,1875,0,
Rob Brown,97162,0,
Fredric Lehne,,0,
Courtney Munch,126,0,
Chris Hill,46077,0,
Travis Guba,290,0,
Jay Benedict,370,0,
Will Estes,120058,0,
David Dayan Fisher,2737,0,
Glen Powell,868735,0,
Russ Fega,727,0,
Andres Perez-Molina,5461,0,
Brent Briscoe,76,0,
John Nolan,22396,0,
Oliver Cotton,4,0,
Mark Killeen,474,0,
Sarah Goldberg,1305,0,
John MacMillan,17889,0,
Robert Wisdom,2051,0,
Ronnie Gene Blevins,8736,0,
John Hollingworth,720,0,
Ian Bohen,2955624,0,
Uri Gavriel,117,0,
Noel Gugliemi,383968,0,
Hector Atreyu Ruiz,252,0,
Patrick Cox,16728,0,
Aramis Knight,99216,0,
Josh Stewart,128904,0,
William Devane,104607,0,
David Gyasi,24082,0,
Patrick Jordan,5707,0,
Joshua Elijah Reese,1080,0,
Desmond Harrington,14855,0,
Mychael Bates,216908,0,
Tomas Arana,321,0,
Peter Holden,644,0,
David Monahan,2496,0,
Jillian Armenante,23696,0,
Aja Evans,22041,0,
Aldous Davidson,614,0,
Wade Williams,6195,0,
Jake Canuso,46865,0,
Massi Furlan,51456,0,
Christopher Judge,49533,0,
Patrick Leahy,43339,0,
Todd Gearhart,100,0,
Marc Abbink,87,0,
Isiah Adams,750,0,
Charlie Alejandro,4401,0,
Robert Arensen,266,0,
Grant Babbitt,2341,0,
Fileena Bahris,2448,0,
Rick Bolander,109,0,
Kyle Patrick Brennan,55,0,
Scott Churchson,41325,0,
Bill Cowher,1414,0,
Graham Curry,516,0,
Stephanie Domini Ehlert,3432,0,
John Farrer,89,0,
Frank Fata,41854,0,
Christopher Bryan Gomez,856,0,
Vito Grassi,830,0,
Michael Wren Gucciardo,14200,0,
Sam Harris,365239,0,
Ed Heavey,,0,
John W. Iwanonkiw,,0,
Cindy Jackson,31840,0,
Daniel Jordano,1711,0,
William Kania,190,0,
Tiffany Kemp,10,0,
Sun Jae Kim,125,0,
Hrvoje Klecz,,0,
Alex Kruz,449,0,
Tyler La Marr,607,0,
LeJon,67,0,
Paul Jude Letersky,139501,0,
Joe Lipari,980,0,
Silvia Lombardo,1750,0,
Jorge Mardel,41,0,
Cale McConnell,462,0,
David Dale McCue,128,0,
Tiffany Sander McKenzie,174,0,
Allen Merritt,228,0,
Olan Montgomery,1217,0,
Alex Moore,14419,0,
Shane Nolan,42903,0,
Jackson Nunn,21609,0,
Joseph O'Brien,120543,0,
Michael Papajohn,2814,0,
Salomon Passariello,1181816,0,
Kyle David Pierce,36094,0,
Troy Polamalu,573993,0,
Michael Power,7783,0,
James Rawlings,785,0,
Kirsten Roeters,143,0,
Ben Roethlisberger,758,0,
Mark Roman,573,0,
Anthony J. Sacco,1514,0,
Eric Salazar,933,0,
Emily Schooley,1900,0,
Thomas Tull,212,0,
Chris Vaina,1939,0,
Vincent van Ommen,2361,0,
Michelle Vezzani,760,0,
Barbara Vincent,309,0,
Justin Michael Woods,30857,0,
Jason Yee,552,0,
Maria Zambrana,2143,0,
John Zion,1549,0,
Alex Ziwak,907,0,
Tommy Bayiokos,2788,0,
Matthew Gooley,473,0,
Jeff Moffitt,746,0,
Mark Falvo,159,0,
Diogo Hausen,1966,0,
Gary Sievers,76,0,
Orion McCabe,457,0,
London May,5161,0,
James Quinn,795,0,
Daniel Newman,508814,0,
Mark Strong,131662,0,
Ciarán Hinds,1118,0,
Dominic West,8142,0,
James Purefoy,4250,0,
Bryan Cranston,5372073,0,
Polly Walker,75696,0,
Daryl Sabara,756615,0,
Arkie Reece,918,0,
Davood Ghadami,122876,0,
Pippa Nixon,441,0,
James Embree,48,0,
Philip Philmar,85,0,
Emily Tierney,111341,0,
Edmund Kente,,0,
Nicholas Woodeson,,0,
Kyle Agnew,946,0,
Don Stark,4797,0,
Josh Daugherty,3574,0,
Jared Cyr,7408,0,
Christopher Goodman,943,0,
